x,y,psi,vorticity,u,v
0,0,0,-0.000901385,0,0
0,0.0078125,0,-0.000901385,0,0
0,0.015625,0,-0.00343513,0,0
0,0.0234375,0,-0.00656293,0,0
0,0.03125,0,-0.0094518,0,0
0,0.0390625,0,-0.0115604,0,0
0,0.046875,0,-0.0125628,0,0
0,0.0546875,0,-0.0122751,0,0
0,0.0625,0,-0.0106051,0,0
0,0.0703125,0,-0.00752071,0,0
0,0.078125,0,-0.00302939,0,0
0,0.0859375,0,0.00283485,0,0
0,0.09375,0,0.0100203,0,0
0,0.101562,0,0.0184635,0,0
0,0.109375,0,0.0280939,0,0
0,0.117188,0,0.0388362,0,0
0,0.125,0,0.0506132,0,0
0,0.132812,0,0.0633473,0,0
0,0.140625,0,0.0769612,0,0
0,0.148438,0,0.0913793,0,0
0,0.15625,0,0.106528,0,0
0,0.164062,0,0.122336,0,0
0,0.171875,0,0.138736,0,0
0,0.179688,0,0.155661,0,0
0,0.1875,0,0.173049,0,0
0,0.195312,0,0.19084,0,0
0,0.203125,0,0.208977,0,0
0,0.210938,0,0.227407,0,0
0,0.21875,0,0.246077,0,0
0,0.226562,0,0.264937,0,0
0,0.234375,0,0.283941,0,0
0,0.242188,0,0.303042,0,0
0,0.25,0,0.322198,0,0
0,0.257812,0,0.341365,0,0
0,0.265625,0,0.360503,0,0
0,0.273438,0,0.379571,0,0
0,0.28125,0,0.398531,0,0
0,0.289062,0,0.417344,0,0
0,0.296875,0,0.435971,0,0
0,0.304688,0,0.454375,0,0
0,0.3125,0,0.472519,0,0
0,0.320312,0,0.490365,0,0
0,0.328125,0,0.507875,0,0
0,0.335938,0,0.525012,0,0
0,0.34375,0,0.541738,0,0
0,0.351562,0,0.558015,0,0
0,0.359375,0,0.573806,0,0
0,0.367188,0,0.589072,0,0
0,0.375,0,0.603774,0,0
0,0.382812,0,0.617874,0,0
0,0.390625,0,0.631333,0,0
0,0.398438,0,0.644114,0,0
0,0.40625,0,0.656178,0,0
0,0.414062,0,0.667486,0,0
0,0.421875,0,0.678002,0,0
0,0.429688,0,0.687689,0,0
0,0.4375,0,0.696511,0,0
0,0.445312,0,0.704432,0,0
0,0.453125,0,0.71142,0,0
0,0.460938,0,0.717441,0,0
0,0.46875,0,0.722466,0,0
0,0.476562,0,0.726464,0,0
0,0.484375,0,0.72941,0,0
0,0.492188,0,0.73128,0,0
0,0.5,0,0.73205,0,0
0,0.507812,0,0.731703,0,0
0,0.515625,0,0.730223,0,0
0,0.523438,0,0.727597,0,0
0,0.53125,0,0.723815,0,0
0,0.539062,0,0.718873,0,0
0,0.546875,0,0.71277,0,0
0,0.554688,0,0.705506,0,0
0,0.5625,0,0.697091,0,0
0,0.570312,0,0.687534,0,0
0,0.578125,0,0.676853,0,0
0,0.585938,0,0.665066,0,0
0,0.59375,0,0.652201,0,0
0,0.601562,0,0.638285,0,0
0,0.609375,0,0.623356,0,0
0,0.617188,0,0.607452,0,0
0,0.625,0,0.590617,0,0
0,0.632812,0,0.5729,0,0
0,0.640625,0,0.554356,0,0
0,0.648438,0,0.535043,0,0
0,0.65625,0,0.515021,0,0
0,0.664062,0,0.49436,0,0
0,0.671875,0,0.473127,0,0
0,0.679688,0,0.451398,0,0
0,0.6875,0,0.429249,0,0
0,0.695312,0,0.40676,0,0
0,0.703125,0,0.384015,0,0
0,0.710938,0,0.361098,0,0
0,0.71875,0,0.338095,0,0
0,0.726562,0,0.315095,0,0
0,0.734375,0,0.292186,0,0
0,0.742188,0,0.269459,0,0
0,0.75,0,0.247002,0,0
0,0.757812,0,0.224906,0,0
0,0.765625,0,0.203257,0,0
0,0.773438,0,0.182143,0,0
0,0.78125,0,0.161649,0,0
0,0.789062,0,0.141856,0,0
0,0.796875,0,0.122846,0,0
0,0.804688,0,0.104693,0,0
0,0.8125,0,0.0874706,0,0
0,0.820312,0,0.0712469,0,0
0,0.828125,0,0.0560851,0,0
0,0.835938,0,0.0420433,0,0
0,0.84375,0,0.0291739,0,0
0,0.851562,0,0.0175229,0,0
0,0.859375,0,0.00712957,0,0
0,0.867188,0,-0.00197442,0,0
0,0.875,0,-0.00976552,0,0
0,0.882812,0,-0.0162293,0,0
0,0.890625,0,-0.0213612,0,0
0,0.898438,0,-0.0251683,0,0
0,0.90625,0,-0.0276702,0,0
0,0.914062,0,-0.0289018,0,0
0,0.921875,0,-0.0289157,0,0
0,0.929688,0,-0.027786,0,0
0,0.9375,0,-0.0256136,0,0
0,0.945312,0,-0.0225331,0,0
0,0.953125,0,-0.0187236,0,0
0,0.960938,0,-0.0144224,0,0
0,0.96875,0,-0.00994612,0,0
0,0.976562,0,-0.00571505,0,0
0,0.984375,0,-0.00227255,0,0
0,0.992188,0,-0.000242013,0,0
0,1,0,-0.000242013,0,0
0.0078125,0,0,-0.000901385,0,0
0.0078125,0.0078125,2.75085e-08,-0.00163402,6.71547e-06,-6.70938e-06
0.0078125,0.015625,1.04834e-07,-0.00236549,2.14983e-05,-1.1058e-05
0.0078125,0.0234375,2.0029e-07,-0.00319648,3.85895e-05,-1.17517e-05
0.0078125,0.03125,2.88455e-07,-0.00382954,5.34047e-05,-9.76105e-06
0.0078125,0.0390625,3.52806e-07,-0.00393944,6.27074e-05,-6.0765e-06
0.0078125,0.046875,3.834e-07,-0.00326962,6.43661e-05,-1.39616e-06
0.0078125,0.0546875,3.74621e-07,-0.00164217,5.7065e-05,3.82342e-06
0.0078125,0.0625,3.23659e-07,0.00105476,4.00697e-05,9.2858e-06
0.0078125,0.0703125,2.29531e-07,0.00488237,1.30548e-05,1.47964e-05
0.0078125,0.078125,9.24656e-08,0.00986432,-2.40168e-05,2.02259e-05
0.0078125,0.0859375,-8.64983e-08,0.0159968,-7.09805e-05,2.54879e-05
0.0078125,0.09375,-3.05783e-07,0.0232563,-0.00012753,3.05252e-05
0.0078125,0.101562,-5.63454e-07,0.0316048,-0.000193262,3.53005e-05
0.0078125,0.109375,-8.57353e-07,0.0409945,-0.000267706,3.97909e-05
0.0078125,0.117188,-1.18519e-06,0.0513707,-0.000350352,4.39839e-05
0.0078125,0.125,-1.5446e-06,0.0626743,-0.000440663,4.78741e-05
0.0078125,0.132812,-1.93322e-06,0.0748432,-0.000538093,5.14618e-05
0.0078125,0.140625,-2.34869e-06,0.0878145,-0.00064209,5.47511e-05
0.0078125,0.148438,-2.78871e-06,0.101525,-0.00075211,5.77489e-05
0.0078125,0.15625,-3.25102e-06,0.11591,-0.00086762,6.0464e-05
